Ano,Semana 01,Semana 02,Semana 03,Semana 04,Semana 05,Semana 06,Semana 07,Semana 08,Semana 09,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52,Semana 53
2014,7,12,5,7,10,20,17,12,7,24,4,2,5,7,7,4,4,4,2,2,3,1,-,1,1,2,-,1,-,-,-,1,2,2,2,2,1,1,-,1,4,4,2,-,-,1,1,-,-,1,4,-,2
2015,5,3,-,10,7,2,1,6,13,26,9,20,30,24,58,52,51,67,73,53,53,37,20,34,32,19,26,16,5,25,18,43,86,55,54,42,32,42,31,16,18,11,9,6,10,9,9,8,9,8,6,-,1
2016,13,16,11,18,19,20,11,29,23,32,39,29,25,6,6,10,11,13,15,4,5,9,13,6,7,7,7,2,3,1,5,4,5,3,9,-,7,6,1,3,3,3,1,8,5,7,3,3,9,10,18,28,-
2017,66,46,94,66,65,79,71,85,107,148,85,139,93,81,63,46,69,38,42,54,25,32,17,21,17,26,15,21,10,18,18,20,22,10,2,7,4,6,5,5,5,20,6,15,9,10,15,18,43,32,73,90,-
2018,193,176,133,151,113,131,90,43,84,62,39,25,18,8,10,8,5,5,3,2,-,10,8,5,-,1,4,2,2,-,-,-,2,-,1,2,-,-,2,2,2,6,1,1,6,8,6,14,20,26,16,10,-
2019,2,5,1,6,5,3,2,3,2,4,3,3,4,1,3,2,1,2,5,5,3,4,4,2,1,-,3,2,2,1,1,1,-,2,1,-,1,-,2,-,-,2,2,1,-,-,3,-,3,2,-,1,-
2020,1,5,4,14,22,7,12,20,13,24,21,10,4,9,8,6,8,8,10,20,15,13,4,2,3,2,-,2,2,2,2,2,3,1,1,2,-,3,1,1,1,1,2,-,1,5,2,2,1,2,1,3,-
2021,6,3,2,5,5,5,4,5,6,6,3,8,7,7,8,8,12,7,6,6,8,9,4,8,3,4,2,2,8,4,2,1,2,5,3,1,4,4,5,2,2,2,2,2,4,1,4,4,11,6,1,1,-
2022,5,5,1,3,10,6,9,7,6,5,7,9,7,5,4,4,3,4,1,5,3,4,3,1,1,3,4,2,-,-,-,-,-,-,-,-,-,-,1,1,1,2,3,1,1,3,1,2,1,-,-,-,-
2023,5,1,4,5,2,11,9,5,22,25,14,30,13,9,33,54,58,46,37,45,26,19,21,14,16,16,14,11,5,5,7,7,8,7,5,-,4,3,4,2,3,4,1,4,4,1,1,6,6,2,1,-,-
2024,6,10,7,14,2,53,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
