"","ds","y"
"1",2014-01-01,43
"2",2015-01-01,15
"3",2016-01-01,55
"4",2017-01-01,225
"5",2018-01-01,706
"6",2019-01-01,21
"7",2020-01-01,40
"8",2021-01-01,12
"9",2022-01-01,11
"10",2023-01-01,9
"11",2014-02-01,51
"12",2015-02-01,17
"13",2016-02-01,80
"14",2017-02-01,323
"15",2018-02-01,368
"16",2019-02-01,10
"17",2020-02-01,48
"18",2021-02-01,20
"19",2022-02-01,32
"20",2023-02-01,28
"21",2014-03-01,35
"22",2015-03-01,65
"23",2016-03-01,129
"24",2017-03-01,491
"25",2018-03-01,233
"26",2019-03-01,14
"27",2020-03-01,57
"28",2021-03-01,26
"29",2022-03-01,29
"30",2023-03-01,108
"31",2014-04-01,20
"32",2015-04-01,190
"33",2016-04-01,54
"34",2017-04-01,353
"35",2018-04-01,27
"36",2019-04-01,10
"37",2020-04-01,47
"38",2021-04-01,34
"39",2022-04-01,20
"40",2023-04-01,169
"41",2014-05-01,12
"42",2015-05-01,257
"43",2016-05-01,40
"44",2017-05-01,177
"45",2018-05-01,9
"46",2019-05-01,17
"47",2020-05-01,56
"48",2021-05-01,31
"49",2022-05-01,15
"50",2023-05-01,256
"51",2014-06-01,2
"52",2015-06-01,137
"53",2016-06-01,39
"54",2017-06-01,104
"55",2018-06-01,33
"56",2019-06-01,9
"57",2020-06-01,20
"58",2021-06-01,30
"59",2022-06-01,11
"60",2023-06-01,85
"61",2014-07-01,2
"62",2015-07-01,76
"63",2016-07-01,13
"64",2017-07-01,79
"65",2018-07-01,10
"66",2019-07-01,4
"67",2020-07-01,6
"68",2021-07-01,17
"69",2022-07-01,8
"70",2023-07-01,16
"71",2014-08-01,6
"72",2015-08-01,202
"73",2016-08-01,22
"74",2017-08-01,71
"75",2018-08-01,2
"76",2019-08-01,7
"77",2020-08-01,10
"78",2021-08-01,10
"79",2014-09-01,5
"80",2015-09-01,193
"81",2016-09-01,23
"82",2017-09-01,21
"83",2018-09-01,3
"84",2019-09-01,5
"85",2020-09-01,5
"86",2021-09-01,17
"87",2022-09-01,1
"88",2014-10-01,11
"89",2015-10-01,84
"90",2016-10-01,10
"91",2017-10-01,36
"92",2018-10-01,12
"93",2019-10-01,3
"94",2020-10-01,5
"95",2021-10-01,9
"96",2022-10-01,5
"97",2014-11-01,2
"98",2015-11-01,37
"99",2016-11-01,23
"100",2017-11-01,55
"101",2018-11-01,31
"102",2019-11-01,4
"103",2020-11-01,11
"104",2021-11-01,9
"105",2022-11-01,7
"106",2013-12-01,7
"107",2014-12-01,5
"108",2015-12-01,30
"109",2016-12-01,50
"110",2017-12-01,216
"111",2018-12-01,73
"112",2019-12-01,7
"113",2020-12-01,8
"114",2021-12-01,25
"115",2022-12-01,4
